id,name,artist,title,duration,trackNumber,releaseDate,trackUrl
665Jxlgi1HamPKbW1vwzx4,We Belong,Pat Benatar,Tropico,221133,2,1984,https://api.spotify.com/v1/tracks/665Jxlgi1HamPKbW1vwzx4
0f9h8awV1X4jSllHXXYdfX,Sharp Dressed Man,ZZ Top,ZZ Top's Greatest Hits,251946,2,1992-04-13,https://api.spotify.com/v1/tracks/0f9h8awV1X4jSllHXXYdfX
4ZyIXabL4Sp97BZfQgqwFB,Gimme All Your Lovin',ZZ Top,ZZ Top's Greatest Hits,239986,1,1992-04-13,https://api.spotify.com/v1/tracks/4ZyIXabL4Sp97BZfQgqwFB
2IJzqbcbQZjcca53yGkX7t,Every Rose Has Its Thorn - Remastered 2003,Poison,Poison Love Songs,260160,1,2006-01-01,https://api.spotify.com/v1/tracks/2IJzqbcbQZjcca53yGkX7t
3nCqvNZj68zVlT3Dy7fJ3b,Next Contestant,Nickelback,All the Right Reasons (Special Edition),214706,7,2005-09-26,https://api.spotify.com/v1/tracks/3nCqvNZj68zVlT3Dy7fJ3b
2RQ3fWFZJJe4G5KkHEACww,Pinch Me,Barenaked Ladies,Maroon,285160,3,2000-09-01,https://api.spotify.com/v1/tracks/2RQ3fWFZJJe4G5KkHEACww
15HadeuRG9THazDGzLH8ZU,Pretty Fly (For a White Guy),The Offspring,Americana,188106,4,1998-11-17,https://api.spotify.com/v1/tracks/15HadeuRG9THazDGzLH8ZU
5rhbzNFh4GhSMEobWwZmEt,Why Don't You & I,Santana,Shaman,274240,11,2002-10-22,https://api.spotify.com/v1/tracks/5rhbzNFh4GhSMEobWwZmEt
3JDq9RHax5vBjyamtba48p,Rise Up,Saliva,Rise Up - Single,188224,1,2014-02-18,https://api.spotify.com/v1/tracks/3JDq9RHax5vBjyamtba48p
1LkoYGxmYpO6QSEvY5C0Zl,Scotty Doesn't Know,Lustra,Left for Dead,175200,2,2006,https://api.spotify.com/v1/tracks/1LkoYGxmYpO6QSEvY5C0Zl
53XBXgtdqf1gmWMm3rqV27,Tribute,Tenacious D,Tenacious D,248053,3,2001-09-25,https://api.spotify.com/v1/tracks/53XBXgtdqf1gmWMm3rqV27
4BVzMXl6fgEC82DpjTZD0T,Fuck Her Gently,Tenacious D,Tenacious D,123666,6,2001-09-25,https://api.spotify.com/v1/tracks/4BVzMXl6fgEC82DpjTZD0T
4yshHBPp0MoVynV1sMCKV3,Send Me On My Way,Rusted Root,The Best Of / 20th Century Masters The Millennium Collection,261706,2,2005-01-01,https://api.spotify.com/v1/tracks/4yshHBPp0MoVynV1sMCKV3
27L8sESb3KR79asDUBu8nW,Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,197986,3,2003-01-01,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW
1sgfjgLRCqSfndpofU8T2C,Jessie's Girl,Rick Springfield,Playlist: The Very Best Of Rick Springfield,194533,1,1981,https://api.spotify.com/v1/tracks/1sgfjgLRCqSfndpofU8T2C
5K7AMlpc4796JRWXb26nCV,I'll Be,Edwin McCain,Misguided Roses,266533,4,1997,https://api.spotify.com/v1/tracks/5K7AMlpc4796JRWXb26nCV
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,281160,3,1993-09-21,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa
5Rizj5FLb2AyNKu9esjYY6,Rape Me,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,170000,4,1993-09-21,https://api.spotify.com/v1/tracks/5Rizj5FLb2AyNKu9esjYY6
0XGV1bem5W9ICY2rgleryV,Chalk Outline,Three Days Grace,Transit Of Venus,181986,2,2012-10-02,https://api.spotify.com/v1/tracks/0XGV1bem5W9ICY2rgleryV
7qpDqr5TxcTlOHG0k7moGt,Sorry,Buckcherry,15,226146,6,2006-04-11,https://api.spotify.com/v1/tracks/7qpDqr5TxcTlOHG0k7moGt
6IW2XuyxBTCiw0JSiX0MTt,Boom,P.O.D.,Boom (Online Music),190760,1,2002-04-02,https://api.spotify.com/v1/tracks/6IW2XuyxBTCiw0JSiX0MTt
1hKdDCpiI9mqz1jVHRKG0E,Enter Sandman,Metallica,Metallica,331573,1,1991-08-12,https://api.spotify.com/v1/tracks/1hKdDCpiI9mqz1jVHRKG0E
2IgLwduDgZ1sQ7JY4oMvq1,The Joker,Steve Miller Band,Live From Chicago,269693,2,2008-06-10,https://api.spotify.com/v1/tracks/2IgLwduDgZ1sQ7JY4oMvq1
3Q8zopc4ABXhysDb1sgLVW,Porn Star Dancing,My Darkest Days,My Darkest Days,199013,2,2010-01-01,https://api.spotify.com/v1/tracks/3Q8zopc4ABXhysDb1sgLVW
1F6r7vqgZuU0PcGHSHTJLn,Wild Thing,The Troggs,The Best of The Troggs 20th Century Masters The Millennium Collection,154960,1,2004-01-01,https://api.spotify.com/v1/tracks/1F6r7vqgZuU0PcGHSHTJLn
1u1DBObkLFscNCpRpXbYb9,Sweet Child O' Mine,Guns N' Roses,Greatest Hits,355266,2,2004-03-23,https://api.spotify.com/v1/tracks/1u1DBObkLFscNCpRpXbYb9
5Ny6yVg3LRfz3jicFcIMlm,Mississippi Queen,Mountain,Drivin' South: Southern Rockin' Smash Hits,147826,3,1970,https://api.spotify.com/v1/tracks/5Ny6yVg3LRfz3jicFcIMlm
2QgWuCtBpNIpl5trmKCxRf,American Pie,Don McLean,The Best Of Don McLean,515866,1,1988-01-01,https://api.spotify.com/v1/tracks/2QgWuCtBpNIpl5trmKCxRf
0LN0ASTtcGIbNTnjSHG6eO,Pour Some Sugar On Me (2012),Def Leppard,Pour Some Sugar On Me (2012),261532,1,1987,https://api.spotify.com/v1/tracks/0LN0ASTtcGIbNTnjSHG6eO
7cy1bEJV6FCtDaYpsk8aG6,China Grove,The Doobie Brothers,The Captain and Me,195306,3,1973,https://api.spotify.com/v1/tracks/7cy1bEJV6FCtDaYpsk8aG6
5Fz2wrKAjhKpWeTwvE1Ct3,Paradise City,Guns N' Roses,Greatest Hits,406200,4,2004-03-23,https://api.spotify.com/v1/tracks/5Fz2wrKAjhKpWeTwvE1Ct3
54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen,News Of The World (Deluxe Remastered Version),122066,1,1977-10-28,https://api.spotify.com/v1/tracks/54flyrjcdnQdco7300avMJ
0eFvoRSTTaR2q8bSWVjwfp,Welcome To The Jungle,Guns N' Roses,Greatest Hits,271866,1,2004-03-23,https://api.spotify.com/v1/tracks/0eFvoRSTTaR2q8bSWVjwfp
1xol3obsRnpAFQkABF3pTs,Knockin' On Heaven's Door,Bob Dylan,PAT GARRETT & BILLY THE KID Original Soundtrack Recording,149933,7,1973-07-13,https://api.spotify.com/v1/tracks/1xol3obsRnpAFQkABF3pTs
1UiC17oEOjwwOhGtT76qbI,"Come On, Come On",Smash Mouth,All Star Smash Hits,152440,9,2005-01-01,https://api.spotify.com/v1/tracks/1UiC17oEOjwwOhGtT76qbI
3cfOd4CMv2snFaKAnMdnvK,All Star,Smash Mouth,Astro Lounge,200373,5,1999-06-08,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK
0jHkgTtTaqg5LNCiYDQPUB,Let's Get It On,Marvin Gaye,Let's Get It On (Expanded Edition),290960,1,1973-08-28,https://api.spotify.com/v1/tracks/0jHkgTtTaqg5LNCiYDQPUB
460Wn6Dq2uMviG5nPXtPnb,Better Days (And the Bottom Drops Out),Citizen King,Mobile Estates,207026,2,1999-02-26,https://api.spotify.com/v1/tracks/460Wn6Dq2uMviG5nPXtPnb
6DsxePZXexaZgZKEdgXOh8,All Summer Long,Kid Rock,All Summer Long,296960,1,2008-06-09,https://api.spotify.com/v1/tracks/6DsxePZXexaZgZKEdgXOh8
11dCfArPrM7kzYpUrFHal9,Panama,Van Halen,1984,212640,3,1984-01-03,https://api.spotify.com/v1/tracks/11dCfArPrM7kzYpUrFHal9
4UuHWIkAWnN176A2rx7YFB,1985,Bowling For Soup,A Hangover You Don't Deserve,193000,3,2004-09-11,https://api.spotify.com/v1/tracks/4UuHWIkAWnN176A2rx7YFB
6yEAAIEHu4GcUFptg5W9kI,Don't You (Forget About Me),Simple Minds,The Breakfast Club,260866,1,1985-01-01,https://api.spotify.com/v1/tracks/6yEAAIEHu4GcUFptg5W9kI
